sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-57680114#2,715101548,715102129,4,highway.unclassified,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,22.240748638478767,213.57574762877545,3265.27,6066.04,3252.97,6047.51
-57680114#3,715101396,715101548,4,highway.unclassified,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,43.13410715431583,225.30056526656145,3295.93,6096.38,3265.27,6066.04
-57680115#0,715101843,471527395,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,65.56912993169888,110.74013726954445,3745.19,3452.37,3806.51,3429.15
-57680115#1,715101595,715101843,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,76.37076808906781,125.9059133786505,3683.95,3496.71,3745.19,3452.37
-57680124,715101956,715102194,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,89.48688421525168,93.80355958238908,5068.81,4291.86,5151.99,4286.33
-57680125#0,715101546,715102004,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,12.587394488137745,257.5205639111248,3529.39,6277.45,3517.1,6274.73
-57680125#1,715102771,715101546,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,93.37936870636896,289.3954485359786,3617.47,6246.44,3529.39,6277.45
-57680126,715101971,715102785,4,highway.unclassified,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,165.6023457657752,171.19194841734588,3012.55,5421.63,3037.77,5258.87
-57680127,715101618,715101365,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,43.56509152980136,250.47533982370453,4207.91,5954.64,4166.85,5940.08
-57680130#0,2025509201,715101587,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,184.95724199557185,133.7297607967663,3370.52,4081.41,3496.37,3961.02
-57680130#1,715101690,2025509201,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,11.996583279155479,254.96218409641693,3381.24,4084.29,3370.52,4081.41
-57680130#2,715102290,715101690,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,55.84445825750312,320.1594655317188,3406.78,4053.68,3381.24,4084.29
-57680132#0,471531831,715101678,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,74.70705723022415,123.63476273667612,3454.55,3880.75,3516.75,3839.37
-57680132#1,1850677572,471531831,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,48.25193985737783,124.6583547055211,3414.86,3908.19,3454.55,3880.75
-57680133#0,715102502,715101926,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,57.84216628031838,66.36438318510778,3053.38,4526.23,3106.37,4549.42
-57680133#1,715102851,715102502,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,60.180151212836876,338.6494228106056,3075.29,4470.18,3053.38,4526.23
-57680135,715102004,715101396,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,290.154964290075,231.11752904319988,3517.1,6274.73,3295.93,6096.38
-57680138,715101578,715102188,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,27.855412400465262,208.23945900134999,3619.31,3727.44,3606.13,3702.9
-57680143#0,715102767,540295644,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,308.47837015863377,275.4509982627834,4070.57,3834.65,3776.52,3862.71
-57680143#1,715102192,715102767,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,16.354987007026466,357.5469683390787,4071.27,3818.31,4070.57,3834.65
-57680145#0,715102679,715102810,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,72.34213156937022,166.83204079259474,3141.97,5035.06,3158.45,4964.62
-57680145#1,715102518,715102679,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,405.44412907881565,172.07209814574992,3086.09,5436.33,3141.97,5035.06
-57680146,715102266,715101923,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,107.50932969922506,273.1903507076959,3583.04,3921.82,3486.52,3927.2
-57680147,715102011,715102669,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,44.90121156494566,268.2387863030049,3981.92,3172.38,3937.04,3171.0
-57680150#0,471527398,471527387,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,387.78035085604927,334.2578384719501,4000.36,3187.1,3835.09,3529.86
-57680150#1,715102578,471527398,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,11.336886697854887,333.321939542423,4005.45,3176.97,4000.36,3187.1
-57680152#0,540295697,715102166,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,79.63111831359896,335.7180958639864,3316.07,4514.55,3283.34,4587.1
-57680152#1,715101713,540295697,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,366.21227702399136,334.8789333880798,3465.17,4196.56,3316.07,4514.55
-57680152#2,715102495,715101713,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,238.2353349549728,320.32827964757564,3613.87,4017.27,3465.17,4196.56
-57680159,715101917,715102497,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,43.3021165764447,355.52315347553275,3887.57,2936.31,3884.19,2979.48
-57680160#0,11663315382,715102012,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,22.148880332874437,165.5684896851942,3048.82,4955.7,3054.34,4934.25
-57680160#1,715102785,11663315382,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,303.77071707435766,177.9125961438698,3037.77,5258.87,3048.82,4955.7
-57680164,715101365,715102771,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,652.94849449092,299.1460830569813,4166.85,5940.08,3617.47,6246.44
-57680166#0,715102266,715101664,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,29.278885805056724,300.9946104760551,3583.04,3921.82,3558.47,3936.58
-57680166#1,715102025,715102266,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,69.26052627579458,313.3794608712996,3633.38,3874.25,3583.04,3921.82
-57680173#0,715101641,715102057,4,highway.unclassified,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,540.0755745280956,205.86975292397076,3232.35,6051.64,3003.53,5579.77
-57680173#1,715101435,715101641,4,highway.unclassified,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,296.2398389632073,182.47400045974064,3245.06,6345.81,3232.35,6051.64
