sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
116181446#1,1310680260,1310680479,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,36.74475491713763,286.8222149452539,800.76,4821.65,770.43,4830.82
116181454,1310680260,1310679615,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,32.47977839800749,167.62428686174076,800.76,4821.65,807.72,4789.93
116711620#1,1315084582,1315084574,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,6.368210109599104,300.2693897527772,4722.51,2686.27,4717.01,2689.48
116711620#2,1315084574,1315084583,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,19.98567005977868,260.8328874398988,4717.01,2689.48,4698.11,2686.43
116711620#3,1315084583,2902747227,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,11.2570006826272,213.9041763182509,4698.11,2686.43,4691.9,2677.19
116711620#4,2902747227,1315084580,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,19.762425047992046,166.9963310271777,4691.9,2677.19,4696.17,2658.7
116711620#5,1315084580,2902747172,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,5.5551147602906905,128.7886711900598,4696.17,2658.7,4700.5,2655.22
116711620#6,2902747172,1315084578,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,25.9283392662836,81.50333341750343,4700.5,2655.22,4724.33,2658.78
116711620#7,1315084578,1315084587,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,5.982482762198235,33.47756676825384,4724.33,2658.78,4727.63,2663.77
116711620#8,1315084587,1315084582,11,highway.secondary,100.00800000000001,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,24.67470319771946,347.1803259267641,4727.63,2663.77,4722.51,2686.27
117755112#0,1583654073,1583654089,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,26.102515204478053,351.5625764249249,4609.07,3234.6,4605.24,3260.42
117755112#1,1583654089,5522756520,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,117.41818268127315,349.41931328190833,4605.24,3260.42,4583.68,3375.84
